Store Number,Longitude,Latitude
8750-94815,-116.97,32.63
3460-93753,-117.15,32.83
6748-76603,-117.13,32.83
14022-108032,-117.15,32.75
6846-69400,-117.16,32.73
75498-112724,-117.2,32.74
28280-245231,-117.16,32.71
25047-237938,-117.14,32.76
22520-221546,-117.04,32.68
21914-210484,-117.15,32.77
5414-145424,-117.17,32.77
5218-438,-117.25,32.79
2821-88044,-117.09,32.71
1354-141273,-117.07,32.77
28298-249832,-117.17,32.77
6901-86480,-117.11,33.02
10015-169504,-117.23,32.73
79690-112869,-117.22,32.74
9329-95800,-117.2,32.76
6541-53799,-117.09,32.58
5316-239505,-117.16,32.72
9734-95136,-117.13,32.7
5307-829,-117.12,32.81
540-484,-117.21,32.87
20222-108480,-117.03,32.58
17552-179885,-117.15,32.71
28669-250142,-117.21,32.87
6547-64059,-117.04,32.58
13559-106860,-117.22,32.73
20387-205004,-117.09,32.97
20089-196284,-117.17,32.71
8906-95341,-116.94,32.74
5365-724,-117.2,32.83
47447-258468,-117.08,32.98
28024-244486,-117.17,32.75
5972-44680,-117.16,32.71
5414-1280,-117.17,32.77
75166-79081,-117.07,32.78
9735-96894,-117.13,32.75
5495-1339,-117.2,32.89
8784-94384,-117.17,32.73
6896-85040,-117.1,32.9
527-471,-117.15,32.78
74536-63239,-117.22,32.75
553-495,-117.23,32.95
5638-2073,-117.15,32.75
24174-235457,-117.05,32.74
75727-62340,-117.17,32.71
74968-102652,-117.1,32.83
5997-50759,-117.1,32.79
6741-75501,-117.17,32.75
11102-101362,-117.16,32.8
79518-102650,-117.18,32.82
75229-94473,-117.16,32.71
73584-23068,-117.8,34.11
5317-861,-117.83,34.11
76658-99293,-117.82,34.1
9253-96095,-117.81,34.11
5915-34639,-118.44,34.28
28316-250007,-122.41,37.78
5396-1025,-122.43,37.77
611-409,-122.4,37.78
79770-123324,-122.43,37.78
28323-250038,-122.48,37.73
79532-102919,-122.49,37.75
74816-73618,-122.44,37.74
5510-992,-122.48,37.78
74482-94458,-122.39,37.78
10251-100645,-122.4,37.79
509-452,-122.43,37.8
658-415,-122.39,37.79
5271-845,-122.47,37.74
9213-9395,-122.4,37.79
6605-2044,-122.41,37.76
5646-1922,-122.4,37.79
5517-1240,-122.42,37.79
22607-215244,-122.4,37.79
5726-8485,-122.4,37.8
5625-1027,-122.4,37.79
9222-9401,-122.4,37.79
628-413,-122.4,37.79
9212-9394,-122.43,37.76
664-382,-122.45,37.79
5287-841,-122.44,37.79
629-414,-122.47,37.76
75804-97411,-122.4,37.79
9224-9402,-122.4,37.8
9215-9397,-122.46,37.76
5852-27467,-122.39,37.79
70325-120031,-122.39,37.62
24218-233045,-122.4,37.79
11239-103904,-122.4,37.77
17517-174624,-122.4,37.79
74242-24470,-122.41,37.77
617-410,-122.4,37.8
5992-51139,-122.41,37.79
5486-668,-122.4,37.79
5649-1926,-122.41,37.79
5945-35560,-122.42,37.81
5851-27487,-122.48,37.73
5516-991,-122.4,37.78
47471-256465,-122.39,37.74
24324-233046,-122.46,37.73
18113-165906,-122.4,37.78
5395-1145,-122.45,37.78
10219-98551,-122.43,37.8
5752-12495,-122.4,37.79
5237-395,-122.42,37.78
16839-172304,-122.39,37.8
14540-119825,-122.45,37.8
9216-9393,-122.4,37.79
6927-229344,-122.42,37.81
533-478,-122.4,37.79
15293-157605,-122.38,37.62
72129-4029,-122.43,37.79
19656-165924,-122.45,37.78
5405-666,-122.42,37.79
6677-73184,-122.39,37.78
9743-98200,-122.4,37.8
14393-110285,-122.41,37.79
5404-1241,-122.41,37.79
9219-9398,-122.4,37.79
532-477,-122.42,37.8
9221-9400,-122.4,37.79
2997-85880,-122.43,37.78
70033-129847,-122.41,37.79
525-469,-122.43,37.79
22432-206704,-122.4,37.79
5585-1887,-122.41,37.78
531-475,-122.44,37.8
603-408,-122.4,37.79
5757-13320,-122.41,37.79
6867-81760,-122.4,37.77
6765-73139,-122.41,37.79
74151-24429,-122.43,37.77
5464-1026,-122.41,37.79
5669-4251,-122.45,37.74
10892-85883,-122.42,37.81
18040-190264,-122.39,37.62
5431-1144,-122.39,37.79
6937-73142,-122.42,37.78
25428-240965,-122.39,37.77
10891-85603,-122.41,37.78
5584-1613,-122.48,37.76
5836-13469,-122.4,37.78
545-488,-122.43,37.75
14311-115765,-122.39,37.77
10347-100168,-122.4,37.79
9211-249564,-122.39,37.79
48505-263367,-122.4,37.62
26031-243127,-118.07,34.12
10492-100423,-116.97,33.8
10893-102951,-117.01,33.77
5262-731,-121.86,37.22
5854-25187,-121.78,37.29
11899-106794,-121.83,37.37
10493-101266,-121.87,37.37
5481-744,-121.89,37.25
74912-101867,-121.86,37.22
5324-889,-121.89,37.34
9736-81620,-121.84,37.34
10494-100815,-121.98,37.31
5857-16354,-121.77,37.3
79676-121302,-122.01,37.31
10001-99525,-121.83,37.32
5442-1200,-121.89,37.38
28611-249877,-121.86,37.25
5243-516,-121.93,37.29
76549-97423,-121.9,37.34
21645-209464,-121.8,37.25
24493-236928,-121.86,37.39
9820-73059,-121.82,37.36
74884-100328,-121.91,37.29
76431-93183,-121.84,37.34
5848-3304,-121.99,37.32
25008-237605,-121.99,37.29
6702-73052,-121.91,37.3
5763-13888,-121.92,37.37
14251-115764,-121.89,37.34
20170-170947,-121.97,37.32
24780-238924,-121.89,37.33
5295-848,-121.79,37.31
6553-63560,-121.95,37.31
74789-73690,-121.91,37.25
6960-72972,-121.86,37.25
76502-96148,-121.81,37.31
10313-100107,-121.81,37.31
11900-99680,-121.92,37.37
20440-204464,-121.93,37.4
6996-78308,-121.87,37.25
24596-236064,-121.92,37.37
76265-93181,-121.86,37.25
6769-73033,-121.86,37.27
74773-73710,-121.87,37.26
26026-207968,-121.88,37.34
21635-210185,-121.8,37.25
2840-101476,-122.03,37.31
558-500,-121.86,37.25
11778-99691,-121.85,37.29
5676-2765,-121.78,37.23
5359-1138,-121.84,37.37
26127-243385,-121.81,37.33
8639-231705,-121.91,37.32
5893-30779,-121.88,37.29
13937-125784,-121.86,37.3
10258-97530,-121.91,37.34
74315-73609,-121.83,37.27
5297-399,-121.89,37.33
638-355,-121.9,37.3
5989-51119,-121.94,37.41
6827-81366,-121.88,37.25
9119-150667,-121.92,37.36
19903-196186,-121.8,37.25
8173-154308,-121.96,37.42
6536-62039,-121.92,37.33
15946-156028,-121.84,37.37
9079-150626,-121.92,37.36
27569-245714,-121.87,37.41
6590-64800,-121.81,37.33
6696-76100,-121.92,37.26
6607-68400,-121.95,37.32
6788-73038,-121.89,37.27
5527-1201,-121.91,37.33
25447-240724,-121.78,37.23
76867-117044,-121.86,37.31
5436-164304,-121.92,37.35
5360-1137,-121.95,37.3
3457-73037,-121.93,37.39
23597-73055,-121.87,37.32
10894-102775,-121.91,37.29
10310-100692,-121.92,37.28
27325-246684,-121.87,37.26
5846-20000,-121.83,37.24
6652-72990,-121.82,37.3
5240-698,-121.99,37.29
6862-81622,-121.92,37.4
10113-72975,-121.81,37.33
6031-146084,-121.93,37.37
14023-108045,-117.66,33.5
5900-34619,-117.65,33.5
636-353,-117.66,33.5
8911-94381,-122.14,37.71
74795-99751,-122.15,37.72
5545-1653,-122.16,37.71
74941-101841,-122.14,37.69
10668-94382,-122.14,37.73
10348-5384,-122.13,37.7
5754-8386,-122.13,37.69
17929-185225,-120.66,35.3
50089-266344,-120.66,35.3
15779-156022,-120.69,35.25
5251-370,-120.67,35.29
70019-127005,-120.66,35.3
74516-48799,-120.64,35.25
6578-61419,-120.68,35.26
6731-75360,-120.64,35.25
14426-120264,-120.67,35.25
620-411,-120.66,35.28
2961-89821,-117.12,33.14
5910-38079,-117.17,33.13
73667-128324,-117.14,33.14
73691-106753,-117.2,33.1
47596-258977,-117.21,33.13
5948-42939,-117.2,33.15
5869-31519,-117.17,33.14
5641-193444,-117.21,33.13
11600-105705,-117.19,33.14
28279-249624,-117.17,33.13
75208-93153,-117.16,33.13
610-325,-118.11,34.12
9339-96308,-122.29,37.53
28436-249753,-122.3,37.54
6718-75341,-122.29,37.54
5692-4510,-122.31,37.55
76623-99359,-122.28,37.56
5602-1925,-122.33,37.58
5596-1924,-122.28,37.56
613-327,-122.32,37.56
5336-210664,-122.3,37.54
72238-25687,-122.29,37.53
72718-35464,-122.33,37.53
74167-120244,-122.28,37.56
5844-23907,-122.34,37.52
8722-87661,-122.33,37.95
22822-213504,-122.33,37.96
8851-103728,-122.34,37.97
76985-136849,-118.29,33.76
6431-37099,-118.31,33.76
5694-5504,-118.31,33.72
11868-105618,-118.29,33.74
79519-103403,-118.29,33.74
74609-90934,-118.31,33.72
79700-107172,-122.53,37.97
605-320,-122.55,38.01
5203-384,-122.53,37.97
19856-199785,-122.49,37.95
6481-61079,-122.52,37.97
10546-99135,-122.52,37.97
74948-101858,-122.55,38.01
20924-197444,-121.96,37.76
5279-402,-121.97,37.78
74112-22861,-121.98,37.77
5781-4778,-121.95,37.76
79660-103243,-121.92,37.77
5825-22045,-121.93,37.73
9513-95264,-121.97,37.78
76208-89721,-121.96,37.76
25784-242224,-121.98,37.77
6562-65501,-117.04,32.54
5569-1415,-121.84,36.62
76508-99361,-121.84,36.62
587-227291,-117.07,33.02
6883-85455,-119.56,36.71
8941-95244,-117.87,33.75
6843-82601,-117.83,33.76
26857-245668,-117.86,33.68
16398-168226,-117.86,33.68
74824-99595,-117.89,33.7
20437-201808,-117.84,33.73
15729-160027,-117.89,33.76
15843-156788,-117.89,33.7
9255-95871,-117.85,33.76
2884-92820,-117.88,33.7
22998-208625,-117.87,33.78
76266-90565,-117.89,33.76
6754-69680,-117.88,33.77
6604-15916,-117.87,33.7
10817-40120,-117.92,33.74
16396-168225,-117.86,33.68
16395-168224,-117.86,33.68
10005-97691,-117.88,33.72
22365-220168,-117.85,33.76
543-487,-119.65,34.42
28206-250105,-119.7,34.42
9344-96327,-119.7,34.42
29541-237436,-119.7,34.42
576-298,-119.7,34.42
16446-160287,-119.7,34.42
6674-71062,-119.75,34.44
564-506,-119.75,34.44
9634-97432,-119.71,34.42
5782-18036,-119.72,34.4
5686-4550,-122,37.35
5920-36180,-121.99,37.34
7981-95789,-121.94,37.34
74299-76584,-121.94,37.35
74337-122544,-121.95,37.39
5619-1443,-121.94,37.35
23498-215304,-121.96,37.35
5913-29495,-121.94,37.33
28193-249740,-121.95,37.33
3458-87674,-121.96,37.39
75981-107178,-121.97,37.34
5730-8405,-121.97,37.33
5412-401,-121.98,37.39
20769-207704,-121.93,37.34
614-328,-121.97,37.35
10182-99743,-118.52,34.37
6584-65300,-118.56,34.42
562-504,-118.55,34.4
5942-45259,-118.53,34.46
19885-173855,-118.43,34.43
20489-206264,-118.43,34.43
6810-82121,-118.56,34.41
6572-64759,-118.54,34.43
20227-204225,-118.5,34.42
5789-18760,-118.54,34.38
6760-78102,-118.57,34.44
70331-90574,-118.42,34.45
6693-75040,-118.58,34.41
6711-40579,-118.47,34.41
26673-244864,-121.99,36.96
5241-371,-122.03,36.97
3781-140185,-122.05,36.96
24168-231371,-118.07,33.97
9327-96152,-118.03,33.89
6613-68460,-118.05,33.94
6518-64461,-118.05,33.92
24287-231369,-118.09,33.95
73649-84483,-120.43,34.92
6934-89144,-120.44,34.94
25042-239406,-120.44,34.97
5917-219125,-120.44,34.92
24592-235446,-120.43,34.92
10185-99739,-120.43,34.92
6997-88002,-120.42,34.95
5493-1376,-118.45,34.02
17403-162764,-118.49,34.02
5667-2401,-118.47,34
19895-184244,-118.49,34.02
529-473,-118.5,34.03
647-365,-118.48,34.04
74799-98878,-118.49,34.03
74781-98357,-118.49,34.02
574-296,-118.49,34.03
5826-5897,-118.47,34.03
7975-95815,-118.48,34.03
79544-104485,-118.5,34.03
6861-83040,-118.5,34.02
25579-237064,-118.49,34.01
23517-218564,-118.46,34.02
21893-205864,-118.47,34.04
22065-217151,-118.48,34.01
22382-220265,-118.49,34.01
506-449,-118.48,34
18380-179545,-118.47,34.03
654-329,-118.5,34.02
22257-196805,-119.07,34.35
74886-100489,-119.08,34.34
76425-97418,-122.71,38.42
3456-86220,-122.74,38.48
48753-251217,-122.75,38.47
5778-15253,-122.67,38.46
13227-106975,-122.77,38.45
5849-27427,-122.69,38.43
13463-105317,-122.78,38.51
74855-73627,-122.65,38.47
74409-82477,-122.72,38.46
19815-197110,-122.73,38.46
3470-93614,-122.67,38.43
2843-73243,-122.72,38.46
28457-250032,-122.72,38.44
74949-101845,-122.75,38.45
640-357,-122.71,38.44
21582-210186,-122.76,38.44
74171-24531,-122.69,38.45
6764-79423,-122.74,38.41
11337-104551,-122.71,38.41
9749-95869,-122.74,38.43
632-380,-122.71,38.42
6789-80880,-122.72,38.44
6636-63839,-116.98,32.84
14489-120945,-116.99,32.84
26331-244067,-116.97,32.84
5912-33779,-116.97,32.86
74619-90569,-116.99,32.84
10253-100062,-122.03,37.26
17714-155684,-122,37.28
5417-1064,-122.03,37.28
79742-133465,-122.03,37.28
47586-258975,-118.54,34.43
73603-80601,-118.51,34.44
10144-98951,-118.51,34.44
606-321,-122.48,37.86
9324-96177,-122.51,37.87
5905-33879,-122.03,37.04
9261-95920,-122.01,37.06
74794-99745,-122.03,37.05
29836-255024,-118.07,33.78
5961-15935,-118.07,33.78
13748-107954,-118.08,33.76
79741-126993,-118.1,33.74
49343-267857,-118.07,33.78
16762-127505,-121.79,36.65
9869-93945,-121.86,36.61
10548-101485,-122.82,38.39
74201-27650,-122.83,38.4
29382-253251,-119.63,36.58
5777-16654,-118.43,34.15
5815-8729,-118.47,34.16
18356-188205,-118.44,34.16
19837-171185,-118.44,34.15
5996-52599,-118.42,34.16
548-491,-118.45,34.15
5552-796,-118.46,34.15
5266-693,-118.05,34.16
23315-218444,-118.18,33.81
5787-10754,-118.17,33.8
6609-246705,-118.74,34.28
74872-96289,-118.68,34.27
2887-86482,-118.78,34.27
74669-95992,-118.72,34.29
73207-21482,-118.79,34.26
9744-98033,-118.81,34.25
9075-151165,-118.8,34.27
27481-247624,-118.77,34.28
74521-27672,-118.76,34.28
5554-1823,-118.72,34.28
6860-82126,-117.25,33
5679-1997,-117.26,33
6799-81361,-121.32,36.42
79636-107003,-122.47,38.29
3471-94127,-122.48,38.3
3499-129845,-120.37,37.97
11601-103746,-120.34,37.97
6439-48199,-120.37,37.97
74951-101849,-121.96,36.99
10669-100788,-121.96,36.99
79760-108476,-117.45,33.75
27215-245385,-118.03,34.04
3973-146285,-118.17,33.95
6991-86062,-119.94,38.95
21756-215164,-119.94,38.96
5478-1134,-120,38.91
74189-35461,-119.97,38.95
5648-1811,-118.15,34.12
74686-96297,-118.15,34.11
6980-86481,-118.15,34.1
10225-98587,-122.45,37.66
9687-72943,-122.41,37.66
79650-115165,-122.45,37.65
5312-907,-122.4,37.65
8636-93711,-118.22,33.96
5834-22761,-118.16,33.95
9350-95417,-117.01,32.71
6793-193504,-116.98,32.75
17211-170948,-122.17,37.42
6576-15934,-117.99,33.79
5308-314,-118.57,34.39
6550-62567,-121.32,38
74464-83281,-121.32,38.01
13402-107358,-121.29,38
5470-1194,-121.3,37.97
10818-102498,-121.27,37.96
10183-99965,-121.22,37.91
7957-95208,-121.24,37.99
5319-859,-121.32,38.01
6795-71922,-121.3,38.02
79643-114724,-121.34,37.96
76158-92528,-121.37,38.05
8979-86211,-121.35,37.98
6970-87669,-121.29,37.95
24424-237885,-121.32,38.02
29754-254253,-121.31,37.99
10719-99626,-121.26,38.04
9287-93608,-121.37,38.05
20685-200251,-121.35,38.01
5447-1377,-118.41,34.14
74702-97967,-118.4,34.14
5734-8710,-118.37,34.14
573-295,-118.4,34.14
8728-73248,-122.02,38.25
6915-197405,-118.31,34.26
5981-38499,-122.04,37.37
7021-148965,-122.03,37.37
2885-73085,-122.03,37.39
27172-155164,-122.03,37.36
539-483,-122.02,37.36
74857-73705,-122.02,37.36
5618-1888,-122.05,37.35
8856-95212,-122.05,37.38
74856-73694,-122.06,37.37
13603-108434,-122.01,37.35
25394-240832,-122.03,37.38
79730-124264,-120.64,40.41
8114-95791,-120.63,40.41
25059-221464,-118.43,34.31
17123-178486,-119.47,35.15
9074-139228,-118.54,34.17
11779-106400,-118.56,34.17
74625-94036,-118.53,34.17
29356-237360,-118.47,35.13
8726-94570,-118.47,35.13
8908-95240,-117.13,33.48
14486-119046,-117.14,33.54
10145-98467,-117.15,33.53
7927-95613,-117.15,33.51
28628-249965,-117.16,33.53
10188-99477,-117.1,33.51
73500-69560,-117.1,33.48
73560-79487,-117.13,33.51
5695-217005,-117.16,33.52
48888-245644,-117.08,33.48
9902-98297,-117.15,33.5
5884-33439,-117.09,33.48
5949-249209,-117.16,33.52
6746-77940,-118.07,34.1
5628-197744,-118.79,34.18
8746-94662,-118.87,34.2
74939-99028,-118.87,34.2
74123-25647,-118.84,34.21
17656-175784,-118.86,34.18
76897-131630,-118.93,34.19
19684-200324,-118.89,34.18
22799-210125,-118.87,34.23
28593-249827,-118.89,34.18
5445-863,-118.82,34.16
5492-1614,-118.84,34.21
8785-238824,-118.91,34.19
5830-159944,-118.94,34.19
9790-98069,-118.92,34.18
5219-423,-118.88,34.18
5720-5663,-118.37,33.86
5651-1915,-118.3,33.86
5246-316,-118.37,33.81
75867-86520,-118.35,33.84
524-468,-118.33,33.8
6687-69960,-118.34,33.87
74511-25707,-118.33,33.8
6856-82370,-118.3,33.83
656-219067,-118.35,33.83
5714-7927,-118.36,33.84
28238-250164,-118.35,33.83
6802-81661,-118.36,33.83
6656-71400,-118.33,33.82
5551-1764,-118.35,33.81
10819-102571,-118.35,33.83
5859-27698,-118.35,33.87
29628-254251,-118.35,33.83
6849-79123,-118.33,33.79
5875-30419,-121.45,37.74
6730-77182,-121.47,37.76
76367-97088,-121.46,37.76
74327-79060,-121.45,37.74
8981-95207,-121.43,37.76
15641-151226,-121.43,37.71
75409-102324,-121.95,38.27
5228-374,-120.21,39.33
75864-98266,-120.12,39.28
79651-115127,-120.21,39.33
74887-99591,-118.3,34.26
47590-258972,-118.27,34.24
6743-78586,-119.33,36.23
76813-111365,-119.32,36.23
11470-105119,-120.88,37.52
8643-84961,-120.85,37.48
11242-103576,-120.87,37.49
9867-98125,-120.83,37.5
6928-87651,-120.85,37.52
5891-33499,-120.88,37.52
79703-125804,-120.88,37.52
76729-97571,-117.83,33.7
29895-254545,-117.81,33.75
6475-60801,-117.82,33.73
20537-206365,-117.84,33.72
552-494,-117.82,33.74
11028-87826,-117.79,33.72
9256-95342,-117.83,33.72
21925-156786,-117.79,33.73
5506-746,-117.83,33.76
15782-152241,-116.06,34.24
9260-75007,-123.2,39.15
11602-104087,-123.2,39.13
74858-99550,-123.21,39.14
5653-2444,-122.07,37.6
5887-27867,-122.02,37.59
74927-101840,-122.02,37.59
11167-95963,-122.07,37.59
13231-105926,-122.02,37.61
27774-238927,-118.36,34.14
23352-223786,-118.36,34.14
75557-71180,-118.35,34.14
6428-39980,-117.67,34.11
49572-267936,-117.64,34.13
74589-83729,-117.65,34.11
8858-94195,-117.64,34.13
76304-90543,-117.64,34.13
76128-88892,-121.96,38.36
22824-210105,-121.95,38.37
5690-3200,-121.99,38.35
22255-218825,-121.96,38.37
74455-83284,-121.96,38.36
49318-268204,-121.95,38.35
22947-151104,-121.93,38.38
6457-61519,-122,38.34
9821-94574,-121.98,38.35
5305-457,-118.55,34.45
28305-249857,-118.56,34.42
76363-97160,-118.56,34.42
26825-235454,-118.56,34.42
74506-25650,-118.57,34.39
9871-98346,-118.58,34.42
6902-85300,-118.59,34.43
74932-101857,-122.21,38.08
5926-30619,-122.22,38.13
23719-232504,-122.22,38.13
74978-101844,-122.23,38.13
9999-99145,-122.23,38.08
22600-222464,-122.26,38.13
5856-27887,-122.23,38.09
22340-195364,-116.95,33.27
10671-101484,-120.82,38.19
6610-66080,-118.4,34.16
20895-192164,-118.4,34.17
18373-179549,-118.45,34.17
6961-88003,-118.47,34.2
75102-34499,-118.47,34.22
19305-195844,-118.5,34.22
23369-229524,-118.45,34.2
15580-141904,-118.47,34.17
6630-71280,-118.45,34.17
9456-96474,-118.51,34.21
20338-204605,-118.46,34.21
20538-186785,-118.46,34
6826-40766,-119.29,34.28
10855-102737,-119.25,34.27
6825-83251,-119.27,34.26
22181-214824,-119.21,34.26
5538-1773,-119.24,34.26
6595-40765,-119.21,34.28
76891-127001,-119.25,34.27
74377-90502,-119.26,34.27
75982-107258,-119.21,34.26
9342-95607,-119.23,34.26
79507-103369,-119.3,34.28
74391-90572,-119.21,34.28
5227-424,-119.21,34.26
26191-243770,-117.32,34.51
11466-105236,-117.34,34.47
5903-34379,-117.35,34.47
74873-96290,-117.29,34.47
11472-105237,-117.33,34.51
10672-101357,-117.33,34.52
11748-106190,-117.35,34.47
5400-1180,-119.29,36.33
6641-71320,-119.35,36.31
24586-235448,-119.32,36.29
10146-99405,-119.31,36.32
11243-103657,-119.31,36.29
10147-99688,-119.33,36.3
76984-136846,-119.3,36.36
11103-102836,-119.33,36.33
20226-199645,-119.32,36.31
6898-85301,-119.35,36.34
3875-101566,-117.23,33.13
11339-104232,-117.22,33.16
10008-98261,-117.23,33.22
6676-72627,-117.24,33.2
73528-53300,-117.25,33.17
25589-241487,-117.23,33.13
23262-220424,-117.22,33.17
5838-26868,-117.25,33.19
14837-116964,-117.24,33.15
23194-224845,-117.28,33.19
25770-242386,-117.24,33.19
76750-107987,-117.21,33.17
6803-41819,-117.84,34.03
17655-168485,-117.86,34.01
29085-251986,-122.06,37.9
74122-24427,-122.05,37.93
74422-24530,-122.06,37.9
5990-34479,-122.06,37.9
25516-239324,-122.02,37.93
76510-99355,-122.06,37.9
5259-400,-122.04,37.93
581-224766,-122.06,37.9
5937-45439,-122.06,37.93
5768-13280,-122.09,37.92
17417-164525,-122.06,37.89
15167-152425,-122.05,37.93
5624-1943,-122.06,37.9
22549-171406,-122.06,37.89
47978-253168,-122.02,37.93
21563-211784,-122.06,37.9
5655-1927,-121.77,36.92
76668-99366,-121.77,36.92
72776-73881,-122.93,40.72
76893-102970,-117.91,34.03
76509-99294,-117.89,34.07
6744-77941,-117.93,34.07
10226-98369,-117.91,34.04
11031-95816,-117.88,34.07
5759-5899,-118.62,34.19
74573-80139,-118.64,34.19
563-505,-118.64,34.19
20788-208089,-118.62,34.19
47263-244530,-118.63,34.19
3575-126987,-118.39,34.08
5232-248024,-118.39,34.08
5871-30359,-118.38,34.08
633-351,-118.38,34.09
5350-902,-118.37,34.1
6512-60520,-118.36,34.09
6729-74640,-118.34,34.09
5738-10772,-118.45,34.05
5213-293,-118.46,34.04
6986-72684,-121.54,38.55
10349-98256,-121.58,38.57
76746-106450,-121.54,38.55
6724-74980,-121.55,38.59
14211-113350,-118.4,33.96
559-501,-118.83,34.15
21573-205865,-118.82,34.18
76797-108113,-118.01,33.75
5309-585,-117.99,33.73
6800-80380,-118.01,33.77
74724-96537,-117.99,33.72
19353-183744,-118.01,33.74
29832-255224,-117.99,33.72
6990-15917,-117.99,33.76
6828-83041,-118.02,33.76
5567-1752,-118.44,34.05
79355-103604,-118.44,34.06
5507-1460,-118.04,33.98
76398-95640,-118,33.94
9351-95997,-118.05,33.97
5680-182264,-118.01,33.95
9452-218446,-118.06,34
26334-244304,-118.06,33.99
74921-101340,-117.99,33.94
8657-94407,-118.03,33.96
6554-64459,-117.24,33.6
73558-64899,-117.24,33.6
10431-100556,-117.25,33.59
79504-101843,-123.35,39.4
3422-93760,-122.21,39.53
9290-95131,-117.12,33.59
14542-117506,-122.82,38.55
5233-238080,-122.81,38.55
74823-99514,-122.81,38.55
22421-219665,-122.79,38.53
22254-218824,-121.75,38.68
6831-167846,-121.8,38.68
5740-156724,-121.73,38.67
76942-131146,-121.72,38.67
21086-180308,-118.59,34.17
76329-95471,-118.58,34.17
75653-88912,-118.6,34.18
10895-103501,-118.62,34.17
5487-1616,-118.57,34.17
585-305,-118.61,34.17
5485-1517,-118.6,34.19
9384-94268,-118.6,34.18
18869-179006,-118.63,34.16
11603-104000,-118.61,34.16
5450-1464,-117.78,33.89
6488-53879,-117.83,33.89
21789-208624,-122.65,41.7
14131-108153,-121.64,39.13
76332-95382,-121.63,39.15
6586-188144,-121.64,39.15
10587-100780,-121.62,39.1
14071-108147,-121.64,39.14
9974-98559,-117.12,34.03
79654-108478,-117.07,34.04
6438-245084,-117.06,34.03
6829-82142,-116.4,34.13
74491-96635,-105.88,37.47
10720-100167,-105.11,39.8
8757-93212,-105.08,39.82
74291-75247,-105.08,39.84
5399-897,-105.08,39.8
16635-173425,-105.08,39.84
5293-808,-105.08,39.84
73931-102079,-105.17,39.81
16857-176084,-105.05,39.81
76512-99423,-105.08,39.84
75581-73361,-106.82,39.19
5283-284,-104.76,39.61
73961-82268,-104.8,39.6
24213-180506,-104.83,39.7
74351-83241,-104.87,39.69
79569-107097,-104.85,39.7
14072-107931,-104.87,39.67
10856-101379,-104.79,39.69
10632-98426,-104.72,39.58
11246-103076,-104.86,39.71
6821-79460,-104.82,39.71
9600-97687,-104.77,39.65
19889-91824,-104.69,39.59
6881-84781,-104.81,39.63
19362-200884,-104.78,39.65
76305-96656,-104.72,39.57
5294-175247,-104.87,39.69
6878-86840,-104.81,39.74
72689-76604,-104.82,39.72
10114-93216,-104.85,39.66
21242-210247,-104.83,39.64
6833-83644,-104.79,39.67
73605-87503,-104.72,39.6
74263-51682,-104.78,39.65
76981-136642,-104.67,39.59
10438-100760,-104.77,39.76
72901-82206,-106.42,39.57
5397-1286,-106.52,39.63
72122-3529,-106.52,39.64
23653-201464,-106.52,39.64
19548-183944,-107.08,39.39
73797-86304,-104.43,39.77
75527-43499,-105.49,39.8
28474-250153,-105.25,40.03
76166-88402,-105.26,40.02
74233-17734,-105.23,40
21402-212484,-105.28,40.01
74497-79747,-105.26,40.01
10857-103228,-105.26,40
240-192,-105.28,40.01
246-193,-105.25,40.01
73969-103416,-105.25,40.02
73898-102078,-105.25,39.98
29237-244389,-105.27,40.01
5594-928,-105.26,40.02
10588-100103,-105.26,40.02
19888-102509,-105.2,40.07
5548-1507,-105.28,40.02
6684-3132,-106.05,39.48
76710-102060,-104.8,39.97
6407-40379,-104.82,39.97
10149-99154,-104.82,39.99
21691-197868,-104.8,39.98
73956-124170,-104.82,39.97
74329-81960,-105.04,39.96
10858-103224,-105.13,39.93
28201-249814,-105.14,39.93
6187-149664,-105.05,39.92
6834-82360,-105.09,39.93
1542-129324,-105.01,39.94
49349-233546,-105.01,40
13425-107937,-105.12,39.93
27006-108203,-105.22,38.45
23650-228164,-104.87,39.41
13489-106901,-104.86,39.41
79266-96990,-104.81,39.35
74170-33019,-104.86,39.36
20787-203505,-104.86,39.41
21163-178024,-104.86,39.41
8982-85012,-104.88,39.47
5390-286,-104.86,39.41
16856-176085,-104.88,39.47
24220-230640,-104.76,39.61
10864-103214,-104.93,39.59
6566-65340,-104.85,39.6
2204-146,-104.96,39.58
26130-243204,-104.96,39.58
74307-78801,-104.75,39.61
254-196664,-104.91,39.57
5573-164244,-104.8,39.6
10896-103190,-108.46,39.09
79680-99500,-104.82,38.81
8830-93513,-104.72,38.91
74157-17756,-104.72,38.88
5802-4253,-104.82,38.8
47551-256564,-104.72,38.93
267-137,-104.82,38.84
73632-87500,-104.74,38.93
5354-898,-104.76,38.89
13336-100888,-104.76,38.96
25986-236504,-104.84,38.8
6216-53,-104.8,38.94
6392-3134,-104.85,38.9
10897-103435,-104.77,38.9
74490-83226,-104.81,38.77
74397-83225,-104.82,38.86
72587-103419,-104.85,38.85
74310-65059,-104.84,38.92
5333-285,-104.72,38.87
29154-247767,-104.8,38.99
6872-75940,-104.79,38.93
73585-79748,-104.77,38.96
6832-180504,-104.81,38.78
73962-136615,-104.76,38.89
74199-26807,-104.75,38.81
17823-180505,-104.72,38.89
6352-20899,-104.76,38.94
